miRNA	DOID	Disease	Expression	Method	Description	target	tarbase	Years	PMID	Causal
hsa-miR-127	353	diffuse large B-cell lymphoma (DLBCL)	up-regulated	"northern blot, qRT-PCR etc"	MiR-17-5p showed a significant higher expression level in the central nervous system compared with testicular and nodal diffuse large B-cell lymphomas (P<0.05). MiR-127 levels were significantly higher in testicular than in central nervous system and in nodal diffuse large B-cell lymphomas (P<0.05). We conclude that the location of diffuse large B-cell lymphoma is an important factor in determining the differential expression of miRNAs.	unknown	"BCL6,Rtl1/Peg11"	2009	19287466	unspecified
hsa-miR-133a	5520	head and neck squamous cell carcinoma (HNSCC)	down-regulated	"northern blot, qRT-PCR etc"	"The majority of miRNAs exhibiting altered expression in primary human HNSCC tumors (including miR-1, miR-133a, miR-205, and let-7d) show lower expression levels relative to normal adjacent tissue. In contrast, hsa-miR-21 is frequently overexpressed in human HNSCC tumors."	unknown	unknown	2009	19179615	unspecified
hsa-miR-141	5517	gastric cancer (stomach cancer)	down-regulated	"northern blot, qRT-PCR etc"	"MiR-141 was significantly down-regulated in 80% (28/35) of primary gastric cancer tissues compared with pair-matched adjacent non-tumor tissues (P < 0.01). The expression of miR-141 was also found to be substantially reduced in several human gastric cancer cell lines such as MGC-803, HGC-27, SGC-7901 and BGC-823 cells. Overexpression of miR-141 with its precursors significantly inhibited the proliferation of gastric cancer cells. CONCLUSIONS: These results suggest that miR-141 may be involved in the development of gastric cancer through its inhibitory effect on cell proliferation."	unknown	Clock	2009	19363643	causal
hsa-miR-143	9256	colorectal cancer	down-regulated	microarray	"The expression of miR-31, miR-183, miR-17-5p, miR-18a, miR-20a and miR-92 were confirmed to be significantly higher in cancer tissues than in normal tissues (P<0.05). In contrast, the expression of miR-143 and miR-145 in cancer tissues were significantly lower than in normal tissues (P<0.05). The miR-18a overexpression group tended to have a poorer clinical prognosis than the low expression group (P=0.07). We identified miRNAs that were overexpressed or under-expressed in colorectal cancers and which may be correlated with colorectal carcinogenesis."	unknown	unknown	2009	19287964	unspecified
hsa-miR-145	9256	colorectal cancer	down-regulated	microarray	"The expression of miR-31, miR-183, miR-17-5p, miR-18a, miR-20a and miR-92 were confirmed to be significantly higher in cancer tissues than in normal tissues (P<0.05). In contrast, the expression of miR-143 and miR-145 in cancer tissues were significantly lower than in normal tissues (P<0.05). The miR-18a overexpression group tended to have a poorer clinical prognosis than the low expression group (P=0.07). We identified miRNAs that were overexpressed or under-expressed in colorectal cancers and which may be correlated with colorectal carcinogenesis."	unknown	FLJ21308	2009	19287964	unspecified
hsa-miR-146b	2627	glioma	down-regulated	"northern blot, qRT-PCR etc"	"Using miRNA microarray, we identified miR-146b as one of the miRNAs that is significantly dysregulated in human glioblastoma tissue. We showed that miR-146b overexpression by transfection with the precursor miR-146b, or knock-down by Locked Nucleic Acid (LNA)-modified anti-miR-146b, has no effect on the growth of human glioblastoma U373 cells. However, precursor miR-146b transfection significantly reduced the migration and invasion of U373 cells, while LNA-anti-miR-146b transfection generated the opposite result. Furthermore, we discovered that a matrix metalloproteinase gene, MMP16, is one of the downstream targets of miR-146b. Taken together, our findings suggest that miR-146b is involved in glioma cell migration and invasion by targeting MMPs, and implicate miR-146b as a metastasis-inhibiting miRNA in glioma."	MMP16	unknown	2009	19265686	causal
hsa-miR-16	684	hepatocellular carcinoma (HCC)	up-regulated	"northern blot, qRT-PCR etc"	"By miRNA microarray analysis, EGCG treatment was found to modify the expressions of some of the miRNAs in human hepatocellular carcinoma HepG2 cells, 13 were up-regulated and 48 were down-regulated. miR-16 is one of the miRNAs up-regulated by EGCG and one of its target genes is confirmed to be the anti-apoptotic protein Bcl-2. EGCG treatment induced apoptosis and down-regulated Bcl-2 in HepG2 cells. Transfection with anti-miR-16 inhibitor suppressed miR-16 expression and counteracted the EGCG effects on Bcl-2 down-regulation and also induction of apoptosis in cells. Results from the present study confirm the role of miR-16 in mediating the apoptotic effect of EGCG and also support the importance of miRNAs in the regulation of the biological activity of EGCG."	BCL2	"BCL2,CGI-38"	2009	19269153	causal
hsa-miR-17-5p	9256	colorectal cancer	up-regulated	microarray	"The expression of miR-31, miR-183, miR-17-5p, miR-18a, miR-20a and miR-92 were confirmed to be significantly higher in cancer tissues than in normal tissues (P<0.05). In contrast, the expression of miR-143 and miR-145 in cancer tissues were significantly lower than in normal tissues (P<0.05). The miR-18a overexpression group tended to have a poorer clinical prognosis than the low expression group (P=0.07). We identified miRNAs that were overexpressed or under-expressed in colorectal cancers and which may be correlated with colorectal carcinogenesis."	unknown	"AIB1,E2F1"	2009	19287964	unspecified
hsa-miR-17-5p	353	diffuse large B-cell lymphoma (DLBCL)	up-regulated	"northern blot, qRT-PCR etc"	MiR-17-5p showed a significant higher expression level in the central nervous system compared with testicular and nodal diffuse large B-cell lymphomas (P<0.05). MiR-127 levels were significantly higher in testicular than in central nervous system and in nodal diffuse large B-cell lymphomas (P<0.05). We conclude that the location of diffuse large B-cell lymphoma is an important factor in determining the differential expression of miRNAs.	unknown	"AIB1,E2F1"	2009	19287466	unspecified
hsa-miR-183	9256	colorectal cancer	up-regulated	microarray	"The expression of miR-31, miR-183, miR-17-5p, miR-18a, miR-20a and miR-92 were confirmed to be significantly higher in cancer tissues than in normal tissues (P<0.05). In contrast, the expression of miR-143 and miR-145 in cancer tissues were significantly lower than in normal tissues (P<0.05). The miR-18a overexpression group tended to have a poorer clinical prognosis than the low expression group (P=0.07). We identified miRNAs that were overexpressed or under-expressed in colorectal cancers and which may be correlated with colorectal carcinogenesis."	unknown	unknown	2009	19287964	unspecified
hsa-miR-18a	9256	colorectal cancer	up-regulated	microarray	"The expression of miR-31, miR-183, miR-17-5p, miR-18a, miR-20a and miR-92 were confirmed to be significantly higher in cancer tissues than in normal tissues (P<0.05). In contrast, the expression of miR-143 and miR-145 in cancer tissues were significantly lower than in normal tissues (P<0.05). The miR-18a overexpression group tended to have a poorer clinical prognosis than the low expression group (P=0.07). We identified miRNAs that were overexpressed or under-expressed in colorectal cancers and which may be correlated with colorectal carcinogenesis."	unknown	unknown	2009	19287964	unspecified
hsa-miR-196a	1107	esophageal cancer	up-regulated	"northern blot, qRT-PCR etc"	" Here, we evaluated miR-196a as a marker of BE progression to low-grade dysplasia, high-grade dysplasia, and EA using microdissected paraffin-embedded tissues from 11 patients. Higher levels of miR-196a were observed in EA, BE, and dysplastic lesions compared with normal squamous mucosa, and in high-grade dysplasia compared with BE and low-grade dysplasia. Using frozen tumor tissues from 10 additional patients who had advanced EA, we evaluated the correlation of miR-196a with its in silico-predicted targets, keratin 5 (KRT5), small proline-rich protein 2C (SPRR2C), and S100 calcium-binding protein A9 (S100A9), which are down-regulated during BE progression. MiR-196a levels inversely correlated with the predicted target mRNA levels in EA. We confirmed that miR-196a specifically targets KRT5, SPRR2C, and S100A9 3' UTRs using miR-196a-mimic and luciferase reporter-based assays. In conclusion, this study identified miR-196a as a potential marker of progression of BE and KRT5, SPRR2C, and S100A9 as its targets."	"KRT5, SPRR2C, S100A9"	unknown	2009	19342367	causal
hsa-miR-199b-5p	3858	medulloblastoma	down-regulated	"northern blot, qRT-PCR etc"	" In a screening of MB cell lines, the miRNA miR-199b-5p was seen to be a regulator of the Notch pathway through its targeting of the transcription factor HES1. Down-regulation of HES1 expression by miR-199b-5p negatively regulates the proliferation rate and anchorage-independent growth of MB cells. MiR-199b-5p over-expression blocks expression of several cancer stem-cell genes, impairs the engrafting potential of MB cells in the cerebellum of athymic/nude mice, and of particular interest, decreases the MB stem-cell-like (CD133+) subpopulation of cells. In our analysis of 61 patients with MB, the expression of miR-199b-5p in the non-metastatic cases was significantly higher than in the metastatic cases (P = 0.001). Correlation with survival for these patients with high levels of miR-199b expression showed a positive trend to better overall survival than for the low-expressing patients. These data showing the down-regulation of miR-199b-5p in metastatic MBs suggest a potential silencing mechanism through epigenetic or genetic alterations. Upon induction of de-methylation using 5-aza-deoxycytidine, lower miR-199b-5p expression was seen in a panel of MB cell lines, supported an epigenetic mechanism of regulation. Furthermore, two cell lines (Med8a and UW228) showed significant up-regulation of miR-199b-5p upon treatment. Infection with MB cells in an induced xenograft model in the mouse cerebellum and the use of an adenovirus carrying miR-199b-5p indicate a clinical benefit through this negative influence of miR-199b-5p on tumor growth and on the subset of MB stem-cell-like cells, providing further proof of concept."	HES1	unknown	2009	19308264	causal
hsa-miR-205	3459	breast cancer	down-regulated	"northern blot, qRT-PCR etc"	"HER2 overexpression is a hallmark of a particularly aggressive subset of breast tumors, and its activation is strictly dependent on the trans-interaction with other members of HER family; in particular, the activation of the PI3K/Akt survival pathway, so critically important in tumorigenesis, is predominantly driven through phosphorylation of the kinase-inactive member HER3. Here, we show that miR-205, down-modulated in breast tumors compared with normal breast tissue, directly targets HER3 receptor, and inhibits the activation of the downstream mediator Akt. The reintroduction of miR-205 in SKBr3 cells inhibits their clonogenic potential and increases the responsiveness to tyrosine-kinase inhibitors Gefitinib and Lapatinib, abrogating the HER3-mediated resistance and restoring a potent proapoptotic activity. Our data describe miR-205 as a new oncosuppressor gene in breast cancer, able to interfere with the proliferative pathway mediated by HER receptor family. Our study also provides experimental evidence suggesting that miR-205 can improve the responsiveness to specific anticancer therapies."	HER3	unknown	2009	19276373	causal
hsa-miR-205	5520	head and neck squamous cell carcinoma (HNSCC)	down-regulated	"northern blot, qRT-PCR etc"	"Using univariate and multivariable statistical models we show that low levels of hsa-miR205 are significantly associated with loco-regional recurrence independent of disease severity at diagnosis and treatment. In addition, combined low levels of hsa-miR-205 and hsa-let-7d expression in HNSCC tumors are significantly associated with poor head and neck cancer survival Our results show that miRNA expression levels can be used as prognostic markers of head and neck cancer."	unknown	unknown	2009	19179615	unspecified
hsa-miR-20a	9256	colorectal cancer	up-regulated	microarray	"The expression of miR-31, miR-183, miR-17-5p, miR-18a, miR-20a and miR-92 were confirmed to be significantly higher in cancer tissues than in normal tissues (P<0.05). In contrast, the expression of miR-143 and miR-145 in cancer tissues were significantly lower than in normal tissues (P<0.05). The miR-18a overexpression group tended to have a poorer clinical prognosis than the low expression group (P=0.07). We identified miRNAs that were overexpressed or under-expressed in colorectal cancers and which may be correlated with colorectal carcinogenesis."	unknown	TGFBR2	2009	19287964	unspecified
hsa-miR-21	5520	head and neck squamous cell carcinoma (HNSCC)	up-regulated	"northern blot, qRT-PCR etc"	"The majority of miRNAs exhibiting altered expression in primary human HNSCC tumors (including miR-1, miR-133a, miR-205, and let-7d) show lower expression levels relative to normal adjacent tissue. In contrast, hsa-miR-21 is frequently overexpressed in human HNSCC tumors."	unknown	"PTEN,TPM1"	2009	19179615	unspecified
hsa-miR-21	10286	prostate cancer	up-regulated	"northern blot, qRT-PCR etc"	"In this study, the effects of miR-21 on prostate cancer cell proliferation, apoptosis, and invasion were examined. In addition, the targets of miR-21 were identified by a reported RISC-coimmunoprecipitation-based biochemical method. Inactivation of miR-21 by antisense oligonucleotides in androgen-independent prostate cancer cell lines DU145 and PC-3 resulted in sensitivity to apoptosis and inhibition of cell motility and invasion, whereas cell proliferation were not affected. We identified myristoylated alanine-rich protein kinase c substrate (MARCKS), which plays key roles in cell motility, as a new target in prostate cancer cells. Our data suggested that miR-21 could promote apoptosis resistance, motility, and invasion in prostate cancer cells and these effects of miR-21 may be partly due to its regulation of PDCD4, TPM1, and MARCKS. Gene therapy using miR-21 inhibition strategy may therefore be useful as a prostate cancer therapy."	MARCKS	"PTEN,TPM1"	2009	19302977	causal
hsa-miR-21	1107	esophageal cancer	up-regulated	"northern blot, qRT-PCR etc"	"To evaluate the role of microRNA-21, cell proliferation and invasion were analyzed with anti-microRNA-21-transfected cells. In addition, the regulation of PDCD4 by microRNA-21 was elucidated to identify the mechanisms of this regulation. RESULTS: Of 20 paired samples, 18 cancer tissues overexpressed microRNA-21 in comparison with matched normal epitheliums. Specifically, patients with lymph node metastasis or venous invasion showed significantly high expression of microRNA-21. In situ hybridization for microRNA-21 showed strong positive staining in paraffin-embedded esophageal squamous cell carcinoma tissues. All seven esophageal squamous cell carcinoma cell lines also overexpressed microRNA-21, and anti-microRNA-21-transfected cells showed significant reduction in cellular proliferation and invasion. The PDCD4 protein levels in esophageal squamous cell carcinoma cells have an inverse correlation with microRNA-21 expression. Anti-microRNA-21-transfected cells increased PDCD4 protein expression without changing the PDCD4 mRNA level and increased a luciferase-reporter activity containing the PDCD4-3' untranslated region construct. CONCLUSIONS: MicroRNA-21 targets PDCD4 at the posttranscriptional level and regulates cell proliferation and invasion in esophageal squamous cell carcinoma. It may serve as a novel therapeutic target in esophageal squamous cell carcinoma."	PDCD4	"PTEN,TPM1"	2009	19276261	causal
hsa-miR-221	10286	prostate cancer	up-regulated	"northern blot, qRT-PCR etc"	"miR-221 and miR-222, were significantly increased in CRPC cells (the LNCaP-derived cell line LNCaP-Abl), compared with those in the androgen-dependent prostate cancer cell line (LNCaP). Overexpression of miR-221 or miR-222 in LNCaP or another androgen-dependent cell line, LAPC-4, significantly reduced the level of the dihydrotestosterone (DHT) induced up-regulation of prostate-specific antigen (PSA) expression and increased androgen-independent growth of LNCaP cells. Knocking down the expression level of miR-221 and miR-222 with antagonist miRs in the LNCaP-Abl cell line restored the response to the DHT induction of PSA transcription and also increased the growth response of the LNCaP-Abl cells to the androgen treatment. Changing the expression level of p27/kip1, a known target of miR-221 and miR-222, alone in LNCaP cells affected the DHT-independent cell growth but did not significantly influence the response of PSA transcription to the DHT treatment. In conclusion, our data suggest the involvement of miR-221 and miR-222 in the development or maintenance of the CRPC phenotype."	unknown	KIT	2009	19351832	causal
hsa-miR-221	5520	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	"an expression ratio of miR-221:miR-375 showed a high sensitivity (0.92) and specificity (0.93) for disease prediction.CONCLUSIONS: These data suggest that cultured tumor cell lines are inappropriate for microRNA biomarker identification and that the pattern of microRNA expression in primary head and neck tissues is reflective of disease status, with certain microRNAs exhibiting strong predictive potential. These results indicate that miR-221 and miR-375 should be evaluated further as diagnostic biomarkers because they may hold utility in defining broadly responsive prevention and treatment strategies for HNSCC."	unknown	KIT	2009	19351747	unspecified
hsa-miR-221	5517	gastric cancer (stomach cancer)	up-regulated	"northern blot, qRT-PCR etc"	"Although it has been speculated that the miRNAs in the same cluster may play related biological functions, this has not been experimentally addressed. Here we report that the miRNAs in two clusters (miR-106b approximately 93 approximately 25 and miR-222 approximately 221) suppress the Cip/Kip family members of Cdk inhibitors (p57(Kip2), p21(Cip1) and p27(Kip1)). We show that miR-25 targets p57 through the 3'-UTR. Furthermore, miR-106b and miR-93 control p21 while miR-222 and miR-221 regulate both p27 and p57. Ectopic expression of these miRNAs results in activation of Cdk2 and facilitation of G1/S phase transition. Consistent with these results, both clusters are abnormally upregulated in gastric cancer tissues compared to the corresponding normal tissues. Ectopic expression of miR-222 cluster enhanced tumor growth in the mouse xenograft model. Our study demonstrates the functional associations between clustered miRNAs and further implicates that effective cancer treatment may require a combinatorial approach to target multiple oncogenic miRNA clusters."	"p27, p57"	KIT	2009	19153141	causal
hsa-miR-222	10286	prostate cancer	up-regulated	"northern blot, qRT-PCR etc"	"miR-221 and miR-222, were significantly increased in CRPC cells (the LNCaP-derived cell line LNCaP-Abl), compared with those in the androgen-dependent prostate cancer cell line (LNCaP). Overexpression of miR-221 or miR-222 in LNCaP or another androgen-dependent cell line, LAPC-4, significantly reduced the level of the dihydrotestosterone (DHT) induced up-regulation of prostate-specific antigen (PSA) expression and increased androgen-independent growth of LNCaP cells. Knocking down the expression level of miR-221 and miR-222 with antagonist miRs in the LNCaP-Abl cell line restored the response to the DHT induction of PSA transcription and also increased the growth response of the LNCaP-Abl cells to the androgen treatment. Changing the expression level of p27/kip1, a known target of miR-221 and miR-222, alone in LNCaP cells affected the DHT-independent cell growth but did not significantly influence the response of PSA transcription to the DHT treatment. In conclusion, our data suggest the involvement of miR-221 and miR-222 in the development or maintenance of the CRPC phenotype."	unknown	KIT	2009	19351832	causal
hsa-miR-222	5517	gastric cancer (stomach cancer)	up-regulated	"northern blot, qRT-PCR etc"	"Although it has been speculated that the miRNAs in the same cluster may play related biological functions, this has not been experimentally addressed. Here we report that the miRNAs in two clusters (miR-106b approximately 93 approximately 25 and miR-222 approximately 221) suppress the Cip/Kip family members of Cdk inhibitors (p57(Kip2), p21(Cip1) and p27(Kip1)). We show that miR-25 targets p57 through the 3'-UTR. Furthermore, miR-106b and miR-93 control p21 while miR-222 and miR-221 regulate both p27 and p57. Ectopic expression of these miRNAs results in activation of Cdk2 and facilitation of G1/S phase transition. Consistent with these results, both clusters are abnormally upregulated in gastric cancer tissues compared to the corresponding normal tissues. Ectopic expression of miR-222 cluster enhanced tumor growth in the mouse xenograft model. Our study demonstrates the functional associations between clustered miRNAs and further implicates that effective cancer treatment may require a combinatorial approach to target multiple oncogenic miRNA clusters."	"p27, p57"	KIT	2009	19153141	causal
hsa-miR-25	5517	gastric cancer (stomach cancer)	up-regulated	"northern blot, qRT-PCR etc"	"Although it has been speculated that the miRNAs in the same cluster may play related biological functions, this has not been experimentally addressed. Here we report that the miRNAs in two clusters (miR-106b approximately 93 approximately 25 and miR-222 approximately 221) suppress the Cip/Kip family members of Cdk inhibitors (p57(Kip2), p21(Cip1) and p27(Kip1)). We show that miR-25 targets p57 through the 3'-UTR. Furthermore, miR-106b and miR-93 control p21 while miR-222 and miR-221 regulate both p27 and p57. Ectopic expression of these miRNAs results in activation of Cdk2 and facilitation of G1/S phase transition. Consistent with these results, both clusters are abnormally upregulated in gastric cancer tissues compared to the corresponding normal tissues. Ectopic expression of miR-222 cluster enhanced tumor growth in the mouse xenograft model. Our study demonstrates the functional associations between clustered miRNAs and further implicates that effective cancer treatment may require a combinatorial approach to target multiple oncogenic miRNA clusters."	p57	unknown	2009	19153141	causal
hsa-miR-26a	12236	primary biliary cirrhosis (PBC)	down-regulated	"northern blot, qRT-PCR etc"	"We compared the expression of 377 miRNAs in explanted livers form subjects with PBC versus controls with normal liver histology. A total of 35 independent miRNAs were found to be differentially expressed in PBC (p<0.001). Quantitative PCR was employed to validate down-regulation of microRNA-122a (miR-122a) and miR-26a and the increased expression of miR-328 and miR-299-5p. The predicted targets of these miRNAs are known to affect cell proliferation, apoptosis, inflammation, oxidative stress, and metabolism. Our data are the first to demonstrate that PBC is characterized by altered expression of hepatic miRNA; however additional studies are required to demonstrate a causal link between those miRNA and the development of PBC."	unknown	PLAG1	2009	19345069	unspecified
hsa-miR-299-5p	12236	primary biliary cirrhosis (PBC)	up-regulated	"northern blot, qRT-PCR etc"	"We compared the expression of 377 miRNAs in explanted livers form subjects with PBC versus controls with normal liver histology. A total of 35 independent miRNAs were found to be differentially expressed in PBC (p<0.001). Quantitative PCR was employed to validate down-regulation of microRNA-122a (miR-122a) and miR-26a and the increased expression of miR-328 and miR-299-5p. The predicted targets of these miRNAs are known to affect cell proliferation, apoptosis, inflammation, oxidative stress, and metabolism. Our data are the first to demonstrate that PBC is characterized by altered expression of hepatic miRNA; however additional studies are required to demonstrate a causal link between those miRNA and the development of PBC."	unknown	unknown	2009	19345069	unspecified
hsa-miR-31	9256	colorectal cancer	up-regulated	microarray	"The expression of miR-31, miR-183, miR-17-5p, miR-18a, miR-20a and miR-92 were confirmed to be significantly higher in cancer tissues than in normal tissues (P<0.05). In contrast, the expression of miR-143 and miR-145 in cancer tissues were significantly lower than in normal tissues (P<0.05). The miR-18a overexpression group tended to have a poorer clinical prognosis than the low expression group (P=0.07). We identified miRNAs that were overexpressed or under-expressed in colorectal cancers and which may be correlated with colorectal carcinogenesis."	unknown	unknown	2009	19287964	unspecified
hsa-miR-328	3459	breast cancer	up-regulated	"northern blot, qRT-PCR etc"	"Breast cancer resistance protein (BCRP/ABCG2) is a molecular determinant of pharmacokinetic properties of many drugs in humans. To understand posttranscriptional regulation of ABCG2 and role of microRNAs (miRNAs) in drug disposition, we found that microRNA-328 (miR-328) might readily target the 3'-untranslated region (3'-UTR) of ABCG2 when considering target-site accessibility. We then noted an inverse relation between the levels of miR-328 and ABCG2 in MCF-7 and MCF-7/MX100 breast cancer cells, and the fact that miR-328 levels could be rescued in MCF-7/MX100 cells transfected with miR-328 plasmid. Luciferase reporter assays showed that ABCG2 3'-UTR-luciferase activity was decreased over 50% in MCF-7/MX100 cells after transfected with miR-328 plasmid, the activity was increased over 100% in MCF-7 cells transfected with a miR-328 antagomir, and disruption of miR-328 response element within ABCG2 3'-UTR led to a 3-fold increase in luciferase activity. Furthermore, the level of ABCG2 protein was down-regulated when miR-328 was over-expressed, and the level was up-regulated when miR-328 was inhibited by selective antagomir. Altered ABCG2 protein expression was associated with significantly declined or elevated levels of ABCG2 3'-UTR and coding sequence mRNAs, suggesting possible involvement of the mechanism of mRNA cleavage. Lastly, miR-328-directed down-regulation of ABCG2 expression in MCF-7/MX100 cells resulted in an increased mitoxantrone sensitivity, as manifested by a significantly lower IC50 value (2.46 +/- 1.64 microM) when compared to the control (151 +/- 32 microM). Together, these findings suggest that miR-328 targets ABCG2 3'-UTR and consequently, controls ABCG2 protein expression and influences drug disposition in human breast cancer cells."	ABCG2	unknown	2009	19270061	unspecified
hsa-miR-346	5419	schizophrenia	down-regulated	"northern blot, qRT-PCR etc"	"Schizophrenia (SZ) is a neuropsychiatric disorder that affects about 1% of the adult population. Numerous genes have been implicated in SZ susceptibility. MicroRNAs (miRNA) are small RNA molecules that regulate the translation of mRNAs via interactions with their 3' untranslated regions. Identification of known miRNA targets on all human genes indicated that miRNA-346 targets SZ susceptibility genes listed in the SchizophreniaGene database twice as frequently as expected relative to other genes in the genome. The gene encoding this miRNA, miR-346, is located in intron 2 of the glutamate receptor ionotropic delta 1 (GRID1) gene, which has been previously implicated in SZ susceptibility. We used quantitative real-time PCR to determine the expression levels of miR-346 and GRID1 using brain RNA samples from the Stanley Array Collection, Stanley Medical Research Institute. Expression of both miR-346 and GRID1 is lower in SZ patients than that in normal controls (P=0.017 and 0.086, respectively). However, the expression of miR-346 and GRID1 is less correlated in SZ patients than in bipolar patients or in normal controls. This study implicates the importance of a miRNA in SZ."	unknown	unknown	2009	19264453	unspecified
hsa-miR-34a	684	hepatocellular carcinoma (HCC)	down-regulated	"northern blot, qRT-PCR etc"	"In the present study, we identified the role of miR-34a in the regulation of tumor cell scattering, migration, and invasion. Down-regulation of miR-34a expression was highly significant in 19 of 25 (76%) human hepatocellular carcinoma (HCC) tissues compared with adjacent normal tissues and associated with the metastasis and invasion of tumors. Furthermore, resected normal/tumor tissues of 25 HCC patients demonstrated an inverse correlation between miR-34a and c-Met-protein. In HepG2 cells, ectopic expression of miR-34a potently inhibited tumor cell migration and invasion in a c-Met-dependent manner. miR-34a directly targeted c-Met and reduced both mRNA and protein levels of c-Met; thus, decreased c-Met-induced phosphorylation of extracellular signal-regulated kinases 1 and 2 (ERK1/2). Taken together, these results provide evidence to show the suppression role of miR-34a in tumor migration and invasion through modulation of the c-Met signaling pathway."	c-Met	E2F3	2009	19006648	causal
hsa-miR-34a	1909	malignant melanoma	down-regulated	"northern blot, qRT-PCR etc"	"miR-34a is actively expressed in melanocytes but not in uveal melanoma cells based on Northern blot analysis. Transfection of miR-34a into uveal melanoma cells led to a significant decrease in cell growth and migration. After identification of two putative miR-34a binding sites within the 3' UTR of the human c-Met mRNA, miR-34a was shown to suppress luciferase activity using HEK293 cells with a luciferase reporter construct containing the binding sites. miR-34a was confirmed to downregulate the expression of c-Met protein by Western blotting and immunofluorescence. Furthermore, the introduction of miR-34a downregulated phosphorylated Akt and cell cycle-related proteins. CONCLUSIONS: These results demonstrate that miR-34a acts as a tumor suppressor in uveal melanoma cell proliferation and migration through the downregulation of c-Met."	c-Met	E2F3	2009	19029026	causal
hsa-miR-34b	9119	acute myeloid leukemia (AML)	down-regulated	"northern blot, qRT-PCR etc"	"Here, microRNAs (miRNA), which act as negative regulators of gene expression principally through translational repression, are investigated for the mediation of high CREB protein levels. A series of miRNAs that target CREB were identified. Real-time quantitative PCR revealed that miR-34b was expressed significantly less in myeloid cell lines, previously known for high CREB protein levels. Exogenous miR-34b expression was induced, and results revealed a direct interaction with the CREB 3'-untranslated region, with the consequent reduction of the CREB protein levels in vitro. miR-34b restored expression caused cell cycle abnormalities, reduced anchorage-independent growth, and altered CREB target gene expression, suggesting its suppressor potential. Using reverse-phase protein array, CREB target proteins (BCL-2, cyclin A1, cyclin B1, cyclin D, nuclear factor-kappaB, Janus-activated kinase 1, and signal transducer and activator of transcription 3), as well as many downstream protein kinases and cell survival signaling pathways (AKT/mammalian target of rapamycin and extracellular signal-regulated kinase) usually elicited by CREB, were observed to have decreased. The miR-34b/miR-34c promoter was shown to be methylated in the leukemia cell lines used. This epigenetic regulation should control the observed miR-34b expression levels to maintain the CREB protein overexpressed. In addition, the inverse correlation between miR-34b and CREB expression was found in a cohort of 78 pediatric patients at diagnosis of acute myeloid leukemia, supporting this relationship in vivo. Our results identify a direct miR-34b target gene, provide a possible mechanism for CREB overexpression, and provide new information about myeloid transformation and therapeutic strategies."	CREB	unknown	2009	19258499	causal
hsa-miR-375	5520	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	"an expression ratio of miR-221:miR-375 showed a high sensitivity (0.92) and specificity (0.93) for disease prediction.CONCLUSIONS: These data suggest that cultured tumor cell lines are inappropriate for microRNA biomarker identification and that the pattern of microRNA expression in primary head and neck tissues is reflective of disease status, with certain microRNAs exhibiting strong predictive potential. These results indicate that miR-221 and miR-375 should be evaluated further as diagnostic biomarkers because they may hold utility in defining broadly responsive prevention and treatment strategies for HNSCC."	unknown	"Adipor2,C1qbp,Jak2,Mtpn,Usp1"	2009	19351747	unspecified
hsa-miR-449a	10286	prostate cancer	down-regulated	"northern blot, qRT-PCR etc"	"Histone deacetylases (HDACs) are frequently overexpressed in broad range of cancer types, where they alter cellular epigenetic programming to promote cell proliferation and survival. However, the mechanism by which HDACs become overexpressed in human cancers remains somewhat of a mystery. In this study, we investigated the expression and functional significance of miR-449a in prostate cancer cells. Using real-time PCR, we found that miR-449a is downregulated in prostate cancer tissues relative to patient-matched control tissue. Introduction of miR-449a into PC-3 prostate cancer cells resulted in cell-cycle arrest, apoptosis and a senescent-like phenotype. In silico analysis of 3'-UTR regions identified a number of genes involved in cell-cycle regulation as putative targets of miR-449a. Using a luciferase 3'-UTR reporter system, we established that HDAC-1 (histone deacetylase 1), a gene that is frequently overexpressed in many types of cancer, is a direct target of miR-449a. Further, our data indicate that miR-449a regulates cell growth and viability in part by repressing the expression of HDAC-1 in prostate cancer cells. Our findings provide new insight into the function of miRNA in regulating HDAC expression in normal versus cancerous tissue."	HDAC-1	unknown	2009	19252524	causal
hsa-miR-451	5517	gastric cancer (stomach cancer)	down-regulated	"northern blot, qRT-PCR etc"	" Down-regulation of miR-451 was associated with worse prognosis. miR-451 was detected by in situ hybridization in epithelial cells and showed decreased expression in gastric and colorectal cancer versus nontumoral tissues. Overexpression of miR-451 in gastric and colorectal cancer cells reduced cell proliferation and increased sensitivity to radiotherapy. Microarray and bioinformatic analysis identified the novel oncogene macrophage migration inhibitory factor (MIF) as a potential target of miR-451. In fact, overexpression of miR-451 down-regulated mRNA and protein levels of MIF and decreased expression of reporter genes with MIF target sequences. Moreover, we found a significant inverse correlation between miR-451 and MIF expression in tumoral gastric biopsies. CONCLUSIONS: These findings support the role of miR-451 as a regulator of cancer proliferation and open new perspectives for the development of effective therapies for chemoradioresistant cancers."	MIF	unknown	2009	19318487	causal
